shape,method,coverage,width_over_oracle
normal,noisy_CP,0.9607392925,1.2743308296885536
normal,gauss_plugin,0.8974612,1.0121394197742202
normal,LDC,0.9324991162499999,1.1389636496603832
laplace,noisy_CP,0.94406263875,1.271507055146721
laplace,gauss_plugin,0.8965621974999999,1.0081645697569594
laplace,LDC,0.9207607175000001,1.1297110797229901
uniform,noisy_CP,0.99951363125,1.3215336448985782
uniform,gauss_plugin,0.9276028162500001,1.0491850233509343
uniform,LDC,0.9792523112499999,1.17448703040111
trunc_laplace,noisy_CP,0.9512024524999999,1.2037580175071356
trunc_laplace,gauss_plugin,0.8812775525,0.9551749773615966
trunc_laplace,LDC,0.91927657375,1.0797519482583826
gamma2_skew,noisy_CP,0.9535881937499999,1.4827705379948097
gamma2_skew,gauss_plugin,0.92024306,1.1717847787195945
gamma2_skew,LDC,0.93667683,1.3044872342752514
shifted_normal,noisy_CP,0.95749171125,1.2492246960835185
shifted_normal,gauss_plugin,0.89677622,1.007581693744301
shifted_normal,LDC,0.9307371962499998,1.12717451550795
bimodal_not_LC,noisy_CP,0.9999323112499999,1.5702293631599444
bimodal_not_LC,gauss_plugin,0.986907885,1.2474498802590543
bimodal_not_LC,LDC,0.99677635125,1.3830912763941239
t3_not_LC,noisy_CP,0.9521342837499999,1.3940030708998035
t3_not_LC,gauss_plugin,0.90670863375,1.073286727290172
t3_not_LC,LDC,0.9256181225,1.1866777978365717
