shape,regime,method,lam_mean,width_mean_matched,sd_cov_mean_matched,share_below_mean_matched,lam_pac,width_pac_matched
gamma2_skew,common,CP_PAC,0.5817624868722103,2.853831820264436,0.029856450894237243,0.3785,0.6667575590552127,3.2707745538284954
gamma2_skew,common,CP_k102,0.6547654520705496,2.825271487139301,0.025676147296664273,0.387,0.7393075240990811,3.190065177476144
gamma2_skew,common,FH_PAC,0.6976237282344194,2.864548001664012,0.030777862498880586,0.4385,0.8593446438115786,3.528598415654746
gamma2_skew,common,FH_boot,0.8565345603068091,2.929895029986722,0.03860658855687718,0.4145,1.095696978742767,3.7479831884891897
gamma2_skew,common,FH_normal,0.8522074475592717,2.892811374659834,0.037034633115504194,0.412,1.0771215365491824,3.6562804534794195
gamma2_skew,common,LDC_PAC,0.633806504691626,2.906417986031613,0.038704945162084906,0.3475,0.7564956996516946,3.4690283099776833
gamma2_skew,common,LDC_k102,0.7420784685940436,2.890798629048161,0.03738704013424973,0.3525,0.8801566651407337,3.428688189480851
gamma2_skew,common,noisy_CP,0.6977246536617688,2.8174610941975025,0.024601210132836962,0.383,0.7871762622401566,3.1786729643246607
gamma2_skew,hetero,CP_PAC,0.5726195630343048,2.8763342344020786,0.03416383921634101,0.354,0.6662388353089377,3.346594657249706
gamma2_skew,hetero,CP_k102,0.6528668097559249,2.8494808718989244,0.02961811067573352,0.372,0.7491902470421717,3.269890958552476
gamma2_skew,hetero,FH_PAC,0.7100063660503161,2.8657519044806112,0.03247303743107503,0.42,0.8974917241601059,3.6224866997673395
gamma2_skew,hetero,FH_boot,0.8549092537855579,2.9173571109102636,0.03796701370927137,0.424,1.1001085911580732,3.7540939076014643
gamma2_skew,hetero,FH_normal,0.8518213425393727,2.8851110765509245,0.03641346838739754,0.4095,1.0909635111018303,3.6950834086988054
gamma2_skew,hetero,LDC_PAC,0.6217778595912734,2.933272573770979,0.043996978987198655,0.3305,0.7532859888730463,3.5536696865014403
gamma2_skew,hetero,LDC_k102,0.7400069138482143,2.9252394201761724,0.04287245246075853,0.3345,0.8960382519622678,3.5420296318520688
gamma2_skew,hetero,noisy_CP,0.7004003725785798,2.8397473965989923,0.028312506777041134,0.365,0.797110762117719,3.2318560928105056
laplace,common,CP_PAC,0.6554501814217066,3.301955081623258,0.025501938553764893,0.4755,0.7817733250788028,3.938331968758192
laplace,common,CP_k102,0.7453641802535994,3.296640916236606,0.024163054028826736,0.4715,0.8807559030704433,3.8954594602212564
laplace,common,FH_PAC,0.8107330441917999,3.3188997940487055,0.024953614768205425,0.454,0.9620752951094849,3.9384499271042697
laplace,common,FH_boot,0.9835107767820105,3.3558684908248253,0.031183754264039472,0.4465,1.222455250623062,4.171178551222496
laplace,common,FH_normal,0.985688959599496,3.3359551559439846,0.029753135465022843,0.4415,1.2116934225171077,4.1008422392310875
laplace,common,LDC_PAC,0.7018078150715736,3.3241381632354563,0.03131047109195261,0.4615,0.8780735049501517,4.159026994638182
laplace,common,LDC_k102,0.827528358948014,3.329665336674545,0.03295514390804568,0.438,1.0489647030211502,4.220642559591177
laplace,common,noisy_CP,0.7987464329521499,3.293547324536074,0.023316682654271385,0.4635,0.9393075513359568,3.8731363859554175
laplace,hetero,CP_PAC,0.6475178795692553,3.316485146174392,0.027686886968382705,0.4775,0.7825473481376723,4.008084931960816
laplace,hetero,CP_k102,0.7413121270243304,3.307266637023691,0.025477637645590297,0.4705,0.8825799988970624,3.937514683016725
laplace,hetero,FH_PAC,0.8304944275945048,3.3328312216122398,0.027538898489227925,0.4535,1.0131333740522246,4.065773867356107
laplace,hetero,FH_boot,0.9929917907094961,3.366307352239398,0.03238120674094775,0.4575,1.2461450846270976,4.224513636049206
laplace,hetero,FH_normal,0.9939071927505645,3.345136973141773,0.030680936100451695,0.444,1.235719831885843,4.1589920349064915
laplace,hetero,LDC_PAC,0.6919151899873879,3.3409063068655827,0.03363822275329064,0.4575,0.8738914640568134,4.219577118745757
laplace,hetero,LDC_k102,0.8219915343243361,3.342581484154941,0.0345271527931279,0.442,1.038277206901867,4.22209478113787
laplace,hetero,noisy_CP,0.7977575511964705,3.30232480980166,0.024235219000454687,0.464,0.9408128878312327,3.8945037075569724
normal,common,CP_PAC,0.6768189594475874,3.325526879051192,0.030685945317033985,0.466,0.781463882691801,3.8396961412256947
normal,common,CP_k102,0.7507376676170859,3.321732052475909,0.02907404839371359,0.4665,0.8626506108736982,3.8169047695747604
normal,common,FH_PAC,0.8153798174722386,3.3492961006583237,0.030292306614056314,0.457,0.9400983424551215,3.8615963323466675
normal,common,FH_boot,0.9863379806186505,3.382824628508254,0.037760579312293395,0.456,1.1779430245832119,4.039968806676454
normal,common,FH_normal,0.9890058711845794,3.361883527036062,0.035483725988120246,0.448,1.1756837741836779,3.9964493928611162
normal,common,LDC_PAC,0.7272097270490152,3.344880650946185,0.03832280887408959,0.442,0.8697489614291903,4.000505444379119
normal,common,LDC_k102,0.83058965852062,3.3477861956692148,0.03943697465577196,0.4395,1.0031815998479638,4.043437667767442
normal,common,noisy_CP,0.7954988485567123,3.319611378446317,0.028223138556865004,0.4695,0.9083484601062172,3.7905320532312734
normal,hetero,CP_PAC,0.6746129012905897,3.326374454967617,0.03151594453605984,0.4705,0.7853164623352816,3.8722304515377024
normal,hetero,CP_k102,0.7510675168282934,3.3200840609116407,0.029352195999618157,0.4645,0.8636249730096112,3.8176428127299373
normal,hetero,FH_PAC,0.8271270789040867,3.340500685945227,0.02921714051716903,0.455,0.9501738021591035,3.8374468915770223
normal,hetero,FH_boot,0.9889382189853668,3.374662827628453,0.03590834944689048,0.4565,1.172502401221755,4.001059108391792
normal,hetero,FH_normal,0.9875154244044982,3.347821100281267,0.03242026788908445,0.45,1.1503192215775138,3.8997496817618122
normal,hetero,LDC_PAC,0.7243949689421106,3.345547621917035,0.03869055168901059,0.4465,0.874155563634822,4.037202344702832
normal,hetero,LDC_k102,0.8312971271244671,3.345702049742185,0.039632698495055824,0.4405,1.0031114195677584,4.037199002692023
normal,hetero,noisy_CP,0.7968384127418343,3.318626711072019,0.02872849073654932,0.4625,0.9122890041765626,3.7994486825254503
shifted_normal,common,CP_PAC,0.6869105033842023,3.472778466041088,0.030138837568824715,0.469,0.7927598453894145,4.007915596350359
shifted_normal,common,CP_k102,0.7624272049826152,3.469281714596611,0.02897397573685738,0.46,0.8747117622925574,3.980211491185368
shifted_normal,common,FH_PAC,0.814365837512558,3.3520132645266045,0.03095726732126077,0.45,0.9433519770981205,3.88293343690456
shifted_normal,common,FH_boot,0.9854518784525298,3.387639602449422,0.03941852242284077,0.4425,1.1885365869717055,4.085773946981596
shifted_normal,common,FH_normal,0.9874239317385957,3.365067959636716,0.03624189288654774,0.4435,1.1733597482628073,3.9987235138755572
shifted_normal,common,LDC_PAC,0.7329088668050161,3.490021118586842,0.03676809404905291,0.4545,0.875004275297239,4.166661829257921
shifted_normal,common,LDC_k102,0.8355188255860749,3.493048137350791,0.038298129066574524,0.4375,1.0058788188035745,4.20527105652926
shifted_normal,common,noisy_CP,0.8074596989950407,3.4689521521822515,0.028838985592423323,0.4565,0.9273043806510888,3.9838205312180928
shifted_normal,hetero,CP_PAC,0.684646027949305,3.4745644471910726,0.03169122686170417,0.4605,0.7927414877347273,4.023146672371252
shifted_normal,hetero,CP_k102,0.7609673138344233,3.4686424795255992,0.02946549897761788,0.4755,0.8762963604334498,3.9943355321494245
shifted_normal,hetero,FH_PAC,0.8281384614722556,3.347636207008118,0.030333760729589727,0.451,0.9592137742667675,3.8774901908162622
shifted_normal,hetero,FH_boot,0.9897151518623423,3.379140446166015,0.03681471838816644,0.455,1.1810624557446237,4.032449039650465
shifted_normal,hetero,FH_normal,0.9887858349246438,3.3548873841488596,0.033376649921764166,0.442,1.1590495165987007,3.932581215766667
shifted_normal,hetero,LDC_PAC,0.7302632625913894,3.4923229063975514,0.038108546547985796,0.446,0.8741477745300426,4.180418833797851
shifted_normal,hetero,LDC_k102,0.8335541922496921,3.49183531308973,0.03819945300655495,0.457,1.0016837285173998,4.196145431581848
shifted_normal,hetero,noisy_CP,0.8072417762344987,3.4696108896932154,0.030003888414670523,0.468,0.9304039399541016,3.998974950152319
t3_not_LC,common,CP_PAC,0.5900351945929531,2.770489757709325,0.026042540198682615,0.475,0.711029879652773,3.3386160979130666
t3_not_LC,common,CP_k102,0.6738784508749879,2.7567217553923293,0.023131365286121783,0.476,0.7960506873809658,3.2565075280990543
t3_not_LC,common,FH_PAC,0.7098540915427669,2.8517032923223993,0.031776166855050345,0.5015,0.8778777142221281,3.5267061185247517
t3_not_LC,common,FH_boot,0.871388048490339,2.900646577851937,0.03821963317458711,0.4645,1.131741244451224,3.7673013457307376
t3_not_LC,common,FH_normal,0.8768703620050904,2.8914472089596406,0.03825991440136792,0.475,1.1279693118174907,3.7194366006270347
t3_not_LC,common,LDC_PAC,0.6461708513722235,2.804648371906429,0.03365639226060928,0.4475,0.826406397604101,3.5869450821734037
t3_not_LC,common,LDC_k102,0.7757923604282457,2.8038928141812067,0.03459327853788941,0.4395,0.9979468076444722,3.606810308553192
t3_not_LC,common,noisy_CP,0.7238027238915067,2.7529089203084594,0.022336282143633483,0.4745,0.845558986146723,3.215996291220375
t3_not_LC,hetero,CP_PAC,0.5790638249898744,2.7790618497105655,0.027184726042393734,0.481,0.7025774169081647,3.3718322774381857
t3_not_LC,hetero,CP_k102,0.6696370246676339,2.767337564873894,0.02506906839114689,0.4675,0.8048464536946586,3.32610316218738
t3_not_LC,hetero,FH_PAC,0.7391791647857191,2.8747418846467476,0.03439753348715573,0.4945,0.9353748738069589,3.6377666683266634
t3_not_LC,hetero,FH_boot,0.8924712011630083,2.917705703889674,0.03908178360822341,0.476,1.1582302003199505,3.786536593547249
t3_not_LC,hetero,FH_normal,0.8950891372652591,2.905322143053283,0.038752506499580126,0.4725,1.1700666492815035,3.7978569993507763
t3_not_LC,hetero,LDC_PAC,0.6309621698952813,2.812792039535125,0.03480828349689194,0.454,0.8079747617806081,3.601903705984417
t3_not_LC,hetero,LDC_k102,0.7703906751568304,2.8208945936521626,0.03809243310685208,0.419,1.0085787693724406,3.693054043282502
t3_not_LC,hetero,noisy_CP,0.7222059697453814,2.7630805539785808,0.02401107390351377,0.479,0.8607757930542188,3.293233446910057
trunc_exp,common,CP_PAC,0.5927072975261545,2.9596519172493574,0.016179199609374997,0.4955,0.7043951811111265,3.51735933905008
trunc_exp,common,CP_k102,0.6717923245837472,2.954027712011517,0.014321922706117358,0.5095,0.7850649005622888,3.4521136772819183
trunc_exp,common,FH_PAC,0.7269010016561708,2.981805168960156,0.022350817434715897,0.463,0.9129959430731759,3.74518127790798
trunc_exp,common,FH_boot,0.8764193339134302,3.009019164370398,0.027768295230352184,0.452,1.1586421389170583,3.9779775111543922
trunc_exp,common,FH_normal,0.8815972160635517,2.993755468828483,0.025065208157922805,0.4525,1.1405942871608032,3.8732658437251994
trunc_exp,common,LDC_PAC,0.6373494796612129,2.9867594612515767,0.023051371759615517,0.4695,0.7924089037426378,3.7134019340399655
trunc_exp,common,LDC_k102,0.746675475801536,2.9820087564880486,0.02231191094460535,0.4775,0.9223745338602177,3.683700651585125
trunc_exp,common,noisy_CP,0.7183292055203552,2.9514493472634684,0.01340499272659258,0.503,0.8323821045819408,3.4200664547148856
trunc_exp,hetero,CP_PAC,0.5807265164989248,2.9654058184036405,0.017213837457115713,0.4945,0.6990424067190609,3.569570807086481
